日期,时间,功率(KW)
2月27日,13:15,1264
2月27日,13:00,1619.2
2月27日,12:45,888
2月27日,12:30,1313.6
2月27日,12:15,1393.6
2月27日,12:00,1012.8
2月27日,11:45,1163.2
2月27日,11:30,1528
2月27日,11:15,1553.6
2月27日,11:00,1556.8
2月27日,10:45,1356.8
2月27日,10:30,1537.6
2月27日,10:15,1755.2
2月27日,10:00,1574.4
2月27日,9:45,1745.6
2月27日,9:30,1640
2月27日,9:15,1846.4
2月27日,9:00,1211.2
2月27日,8:45,1214.4
2月27日,8:30,1392
2月27日,8:15,1136
2月27日,8:00,1480
2月27日,7:45,1486.4
2月27日,7:30,1593.6
2月27日,7:15,1897.6
2月27日,7:00,1768
2月27日,6:45,2337.6
2月27日,6:30,2422.4
2月27日,6:15,2297.6
2月27日,6:00,2027.2
2月27日,5:45,2113.6
2月27日,5:30,1952
2月27日,5:15,2038.4
2月27日,5:00,1875.2
2月27日,4:45,2278.4
2月27日,4:30,2318.4
2月27日,4:15,2244.8
2月27日,4:00,2340.8
2月27日,3:45,2483.2
2月27日,3:30,2238.4
2月27日,3:15,2502.4
2月27日,3:00,2374.4
2月27日,2:45,2609.6
2月27日,2:30,2348.8
2月27日,2:15,2172.8
2月27日,2:00,2480
2月27日,1:45,2235.2
2月27日,1:30,2126.4
2月27日,1:15,1694.4
2月27日,1:00,1752
2月27日,0:45,2161.6
2月27日,0:30,2270.4
2月27日,0:15,2176
2月27日,0:00,2315.2
2月26日,23:45,2348.8
2月26日,23:30,2179.2
2月26日,23:15,2363.2
2月26日,23:00,2366.4
2月26日,22:45,2233.6
2月26日,22:30,2196.8
2月26日,22:15,2337.6
2月26日,22:00,2257.6
2月26日,21:45,2456
2月26日,21:30,2611.2
2月26日,21:15,2569.6
2月26日,21:00,2339.2
2月26日,20:45,2433.6
2月26日,20:30,2616
2月26日,20:15,2409.6
2月26日,20:00,2049.6
2月26日,19:45,2064
2月26日,19:30,1766.4
2月26日,19:15,2136
2月26日,19:00,2206.4
2月26日,18:45,2120
2月26日,18:30,2353.6
2月26日,18:15,2140.8
2月26日,18:00,1852.8
2月26日,17:45,2067.2
2月26日,17:30,2076.8
2月26日,17:15,1860.8
2月26日,17:00,1822.4
2月26日,16:45,2027.2
2月26日,16:30,2043.2
2月26日,16:15,2092.8
2月26日,16:00,1968
2月26日,15:45,1640
2月26日,15:30,1558.4
2月26日,15:15,1830.4
2月26日,15:00,1704
2月26日,14:45,1435.2
2月26日,14:30,1500.8
2月26日,14:15,1526.4
2月26日,14:00,1598.4
2月26日,13:45,1302.4
2月26日,13:30,1089.6
2月26日,13:15,1353.6
2月26日,13:00,1110.4
2月26日,12:45,1088
2月26日,12:30,1235.2
2月26日,12:15,1193.6
2月26日,12:00,1049.6
2月26日,11:45,956.8
2月26日,11:30,1705.6
2月26日,11:15,1216
2月26日,11:00,1339.2
2月26日,10:45,1515.2
2月26日,10:30,1353.6
2月26日,10:15,1643.2
2月26日,10:00,1936
2月26日,9:45,1790.4
2月26日,9:30,1806.4
2月26日,9:15,1564.8
2月26日,9:00,1828.8
2月26日,8:45,1723.2
2月26日,8:30,1833.6
2月26日,8:15,2233.6
2月26日,8:00,1745.6
2月26日,7:45,1804.8
2月26日,7:30,2152
2月26日,7:15,2401.6
2月26日,7:00,2209.6
2月26日,6:45,1936
2月26日,6:30,1892.8
2月26日,6:15,1947.2
2月26日,6:00,1963.2
2月26日,5:45,1779.2
2月26日,5:30,1860.8
2月26日,5:15,1814.4
2月26日,5:00,1897.6
2月26日,4:45,2440
2月26日,4:30,2582.4
2月26日,4:15,2214.4
2月26日,4:00,2292.8
2月26日,3:45,2611.2
2月26日,3:30,2363.2
2月26日,3:15,2483.2
2月26日,3:00,2476.8
2月26日,2:45,2369.6
2月26日,2:30,2449.6
2月26日,2:15,2667.2
2月26日,2:00,2188.8
2月26日,1:45,2529.6
2月26日,1:30,2265.6
2月26日,1:15,2491.2
2月26日,1:00,2518.4
2月26日,0:45,2499.2
2月26日,0:30,2369.6
2月26日,0:15,2254.4
2月26日,0:00,2379.2
2月25日,23:45,2400
2月25日,23:30,1776
2月25日,23:15,2228.8
2月25日,23:00,2660.8
2月25日,22:45,2494.4
2月25日,22:30,2612.8
2月25日,22:15,2451.2
2月25日,22:00,2844.8
2月25日,21:45,2456
2月25日,21:30,2296
2月25日,21:15,2470.4
2月25日,21:00,2566.4
2月25日,20:45,2395.2
2月25日,20:30,2772.8
2月25日,20:15,2443.2
2月25日,20:00,2368
2月25日,19:45,2460.8
2月25日,19:30,2260.8
2月25日,19:15,2233.6
2月25日,19:00,2184
2月25日,18:45,1944
2月25日,18:30,2374.4
2月25日,18:15,2348.8
2月25日,18:00,1972.8
2月25日,17:45,1612.8
2月25日,17:30,2022.4
2月25日,17:15,1628.8
2月25日,17:00,1486.4
2月25日,16:45,1716.8
2月25日,16:30,1667.2
2月25日,16:15,2040
2月25日,16:00,1566.4
2月25日,15:45,1928
2月25日,15:30,1870.4
2月25日,15:15,1777.6
2月25日,15:00,1494.4
2月25日,14:45,1745.6
2月25日,14:30,1796.8
2月25日,14:15,1944
2月25日,14:00,1929.6
2月25日,13:45,1862.4
2月25日,13:30,2054.4
2月25日,13:15,1454.4
